Episode,market_share_predict
Mom V.F. (M),0
2 filles fauchées,0
The Big Bang Theory,0
Flashpoint,0
Les Frères Scott,0
The Bold Type : de celles qui osent,0
Sirène,0
Jouer le jeu,0
Le chalet,0
Max et Livia,0
The Big Bang Theory,0
Young Sheldon V.F.,0
2 filles fauchées,0
Marvel's Runaways V.F.,0.1
The Gifted V.F.,0.5
Code F. rencontre Code G.,0.4
Code F.,0.4
Flashpoint,0.1
Hors circuits,4.2
Complément de programme canadien,4.2
Les grands sentiers,4.2
Le rebut global - Les apprentis,2.8
Complément de programme canadien,2.8
Au coeur du Yukon,2.8
Complément de programme canadien,2.6
Dans une galaxie près de chez vous,2.6
Watatatow,2.6
Complément de programme,2.4
Émissions jeunesse AM 1,2.4
Dans une galaxie près de chez vous,0.9
Watatatow,3.4
Complément de programme canadien,0.6
Au coeur du Yukon,1.2
Hors circuits,0.9
Le goût du pays,0.9
Les encanteurs,2.2
Complément de programme canadien,1.1
"Motel, no vacancy",0.4
Complément de programme canadien,1.3
Pas plus bêtes que nous,0.4
Cochon dingue,0.1
Émissions jeunesse PM 1,0.6
Dans une galaxie près de chez vous,0.1
Watatatow,2.9
Cochon dingue,0.1
Ouache!,1.8
Complément de programme canadien,0.7
Ouache!,1.8
Complément de programme canadien,0.7
Écrivain public,3.6
Complément de programme canadien,0.3
Vu de l'intérieur,0.1
Complément de programme canadien,0.7
Cinéma,1.9
Court métrage,2.7
Court métrage,2.7
Court métrage,2.7
Court métrage,2.7
Hooké,0.8
Fou des oiseaux,0.3
Canada plus grand que nature,1.5
Complément de programme canadien,1.5
Ô Chalet,1.6
Vu de l'intérieur,1.6
Complément de programme canadien,1.5
Lumière sur…,0.8
Cinéma #1,3.3
Défier la magie,0.8
5 degrés,1.8
"Filles de Caleb, Les",1.3
Temps d'une paix,1.7
Temps d'une paix,1.7
Cormoran,1.5
Lumière sur…,0.2
Variétés,0
Temps d'une paix,1.7
Temps d'une paix,1.7
Cormoran,1.8
Moi et l'autre,1.7
"Appel du cœur, L",2.1
Cormoran,1.8
Temps d'une paix,0.1
Temps d'une paix,0.1
Quelle famille,0.8
"Foire aux vanités, La",1.8
"Foire aux vanités, La",1.8
Pique-nique à Hanging Rock,0.2
"Borgia, Les",2.1
"Effet Wow, L'",0.8
Rétroviseur,0.8
Variétés,0.3
V - Bonne nuit,10.7
NVL,10.7
Moment V,10.7
Moment V,2.5
NVL en bref,16
Moment V,14.7
NVL en bref,16
Moment V,14.7
NVL en bref,16
Infopublicité,14.7
Infopublicité,14.7
Marvel: les agents du S.H.I.E.L.D.,12.3
La guerre des clans,18
Ciné V,16.1
Ciné V,13.3
Les Simpson,4.3
Les Simpson,5.6
La guerre des clans,5.6
Un souper presque parfait,14
Un souper presque parfait,14
Rire et délire,5.6
Les détestables,5.6
Ciné V,15.7
